"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1930","Авторизация под несуществующим пользователем возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","3743","Создание курьера с уже существующим логином возвращает ошибку 409","tests","2026-06-16","passed","2026-06-16","TestCreateCourier","test_create_courier","",""
"","1915","Запрос без номера заказа возвращает ошибку 400","tests","2026-06-16","passed","2026-06-16","TestGetOrderByTrack","test_get_order_by_track","",""
"","2037","Авторизация без поля login возвращает ошибку 400","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","1984","Успешное принятие заказа: статус 200 и тело ok=true","tests","2026-06-16","passed","2026-06-16","TestAcceptOrder","test_accept_order","",""
"","1944","Если нет поля login — запрос возвращает ошибку 400","tests","2026-06-16","passed","2026-06-16","TestCreateCourier","test_create_courier","",""
"","1899","Курьер может авторизоваться: статус 200 и в ответе есть id","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","3882","Нельзя создать двух одинаковых курьеров: статус 409","tests","2026-06-16","passed","2026-06-16","TestCreateCourier","test_create_courier","",""
"","2626","Успешное удаление курьера: статус 200 и тело ok=true","tests","2026-06-16","passed","2026-06-16","TestDeleteCourier","test_delete_courier","",""
"","1891","Принятие заказа с неверным id курьера возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestAcceptOrder","test_accept_order","",""
"","18568","В теле ответа возвращается список заказов","tests","2026-06-16","passed","2026-06-16","TestOrdersList","test_orders_list","",""
"","1861","Создание заказа с цветом: ['GREY']","tests","2026-06-16","passed","2026-06-16","TestCreateOrder","test_create_order","",""
"","1863","Создание заказа с цветом: ['BLACK']","tests","2026-06-16","passed","2026-06-16","TestCreateOrder","test_create_order","",""
"","13802","Список заказов не пустой","tests","2026-06-16","passed","2026-06-16","TestOrdersList","test_orders_list","",""
"","1876","Принятие заказа с неверным id заказа возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestAcceptOrder","test_accept_order","",""
"","1951","Принятие заказа без id курьера возвращает ошибку 400","tests","2026-06-16","passed","2026-06-16","TestAcceptOrder","test_accept_order","",""
"","1921","Если нет поля password — запрос возвращает ошибку 400","tests","2026-06-16","passed","2026-06-16","TestCreateCourier","test_create_courier","",""
"","1831","Можно создать курьера, передав все обязательные поля","tests","2026-06-16","passed","2026-06-16","TestCreateCourier","test_create_courier","",""
"","1876","Создание заказа с цветом: []","tests","2026-06-16","passed","2026-06-16","TestCreateOrder","test_create_order","",""
"","1900","Успешный запрос возвращает объект с заказом","tests","2026-06-16","passed","2026-06-16","TestGetOrderByTrack","test_get_order_by_track","",""
"","1963","Авторизация без поля password возвращает ошибку","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","1882","Авторизация с неверным логином возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","1856","Успешная авторизация возвращает id курьера","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","1928","Курьера можно создать: статус 201 и тело ok=true","tests","2026-06-16","passed","2026-06-16","TestCreateCourier","test_create_courier","",""
"","1925","Запрос с несуществующим номером заказа возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestGetOrderByTrack","test_get_order_by_track","",""
"","2038","Принятие заказа без id заказа возвращает ошибку","tests","2026-06-16","passed","2026-06-16","TestAcceptOrder","test_accept_order","",""
"","1943","Авторизация с неверным паролем возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestLoginCourier","test_login_courier","",""
"","1902","Удаление без id возвращает ошибку","tests","2026-06-16","passed","2026-06-16","TestDeleteCourier","test_delete_courier","",""
"","2073","Создание заказа с цветом: ['BLACK', 'GREY']","tests","2026-06-16","passed","2026-06-16","TestCreateOrder","test_create_order","",""
"","1909","Удаление с несуществующим id возвращает ошибку 404","tests","2026-06-16","passed","2026-06-16","TestDeleteCourier","test_delete_courier","",""
